prepared_relative_path,prepared_split,label,kind,source_relative_path,original_relative_path
train/paper/paper_003.jpg,train,paper,original,train/paper/paper_003.jpg,train/paper/paper_003.jpg
train/paper/paper_003__aug_v2_01.jpg,train,paper,augmentation,train/paper/paper_003__aug_v2_01.jpg,train/paper/paper_003.jpg
train/paper/paper_003__aug_v2_02.jpg,train,paper,augmentation,train/paper/paper_003__aug_v2_02.jpg,train/paper/paper_003.jpg
train/paper/paper_003__aug_v2_03.jpg,train,paper,augmentation,train/paper/paper_003__aug_v2_03.jpg,train/paper/paper_003.jpg
train/paper/paper_003__aug_v2_04.jpg,train,paper,augmentation,train/paper/paper_003__aug_v2_04.jpg,train/paper/paper_003.jpg
train/paper/paper_003__aug_v2_05.jpg,train,paper,augmentation,train/paper/paper_003__aug_v2_05.jpg,train/paper/paper_003.jpg
train/paper/paper_003__aug_v2_06.jpg,train,paper,augmentation,train/paper/paper_003__aug_v2_06.jpg,train/paper/paper_003.jpg
train/paper/paper_003__aug_v2_07.jpg,train,paper,augmentation,train/paper/paper_003__aug_v2_07.jpg,train/paper/paper_003.jpg
train/paper/paper_003__aug_v2_08.jpg,train,paper,augmentation,train/paper/paper_003__aug_v2_08.jpg,train/paper/paper_003.jpg
train/paper/paper_003__aug_v2_09.jpg,train,paper,augmentation,train/paper/paper_003__aug_v2_09.jpg,train/paper/paper_003.jpg
train/paper/paper_005.jpg,train,paper,original,train/paper/paper_005.jpg,train/paper/paper_005.jpg
train/paper/paper_005__aug_v2_01.jpg,train,paper,augmentation,train/paper/paper_005__aug_v2_01.jpg,train/paper/paper_005.jpg
train/paper/paper_005__aug_v2_02.jpg,train,paper,augmentation,train/paper/paper_005__aug_v2_02.jpg,train/paper/paper_005.jpg
train/paper/paper_005__aug_v2_03.jpg,train,paper,augmentation,train/paper/paper_005__aug_v2_03.jpg,train/paper/paper_005.jpg
train/paper/paper_005__aug_v2_04.jpg,train,paper,augmentation,train/paper/paper_005__aug_v2_04.jpg,train/paper/paper_005.jpg
train/paper/paper_005__aug_v2_05.jpg,train,paper,augmentation,train/paper/paper_005__aug_v2_05.jpg,train/paper/paper_005.jpg
train/paper/paper_005__aug_v2_06.jpg,train,paper,augmentation,train/paper/paper_005__aug_v2_06.jpg,train/paper/paper_005.jpg
train/paper/paper_005__aug_v2_07.jpg,train,paper,augmentation,train/paper/paper_005__aug_v2_07.jpg,train/paper/paper_005.jpg
train/paper/paper_005__aug_v2_08.jpg,train,paper,augmentation,train/paper/paper_005__aug_v2_08.jpg,train/paper/paper_005.jpg
train/paper/paper_005__aug_v2_09.jpg,train,paper,augmentation,train/paper/paper_005__aug_v2_09.jpg,train/paper/paper_005.jpg
train/paper/paper_006.jpg,train,paper,original,train/paper/paper_006.jpg,train/paper/paper_006.jpg
train/paper/paper_006__aug_v2_01.jpg,train,paper,augmentation,train/paper/paper_006__aug_v2_01.jpg,train/paper/paper_006.jpg
train/paper/paper_006__aug_v2_02.jpg,train,paper,augmentation,train/paper/paper_006__aug_v2_02.jpg,train/paper/paper_006.jpg
train/paper/paper_006__aug_v2_03.jpg,train,paper,augmentation,train/paper/paper_006__aug_v2_03.jpg,train/paper/paper_006.jpg
