prepared_relative_path,split,label,kind,source_dataset,source_path,transform_parameters
train/paper/paper_003.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_003.jpg,
train/paper/paper_003__aug_v2_01.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_003__aug_v2_01.jpg,
train/paper/paper_003__aug_v2_02.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_003__aug_v2_02.jpg,
train/paper/paper_003__aug_v2_03.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_003__aug_v2_03.jpg,
train/paper/paper_003__aug_v2_04.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_003__aug_v2_04.jpg,
train/paper/paper_003__aug_v2_05.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_003__aug_v2_05.jpg,
train/paper/paper_003__aug_v2_06.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_003__aug_v2_06.jpg,
train/paper/paper_003__aug_v2_07.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_003__aug_v2_07.jpg,
train/paper/paper_003__aug_v2_08.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_003__aug_v2_08.jpg,
train/paper/paper_003__aug_v2_09.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_003__aug_v2_09.jpg,
