source_relative_path,label,admitted,reason
paper/esp32-cam-2026-08-01T09-20-56-169Z.jpg,paper,true,raw_esp32_capture
paper/esp32-cam-2026-08-01T09-20-57-593Z.jpg,paper,true,raw_esp32_capture
paper/esp32-cam-2026-08-01T09-20-58-823Z.jpg,paper,true,raw_esp32_capture
paper/esp32-cam-2026-08-01T09-21-08-060Z.jpg,paper,true,raw_esp32_capture
paper/esp32-cam-2026-08-01T09-21-17-077Z.jpg,paper,true,raw_esp32_capture
paper/esp32-cam-2026-08-01T09-21-24-094Z.jpg,paper,true,raw_esp32_capture
paper/esp32-cam-2026-08-01T09-21-26-275Z.jpg,paper,true,raw_esp32_capture
paper/esp32-cam-2026-08-01T09-21-32-945Z.jpg,paper,true,raw_esp32_capture
paper/esp32-cam-2026-08-01T09-21-33-812Z.jpg,paper,true,raw_esp32_capture
paper/esp32-cam-2026-08-01T09-21-34-304Z.jpg,paper,true,raw_esp32_capture
paper/esp32-cam-2026-08-01T09-21-41-368Z.jpg,paper,true,raw_esp32_capture
paper/esp32-cam-2026-08-01T09-21-42-352Z.jpg,paper,true,raw_esp32_capture
paper/esp32-cam-2026-08-01T09-21-43-340Z.jpg,paper,true,raw_esp32_capture
paper/esp32-cam-2026-08-01T09-21-48-763Z.jpg,paper,true,raw_esp32_capture
paper/esp32-cam-2026-08-01T09-21-49-767Z.jpg,paper,true,raw_esp32_capture
paper/esp32-cam-2026-08-01T09-21-50-789Z.jpg,paper,true,raw_esp32_capture
paper/esp32-cam-2026-08-01T09-21-51-510Z.jpg,paper,true,raw_esp32_capture
paper/esp32-cam-2026-08-01T09-22-42-501Z.jpg,paper,true,raw_esp32_capture
paper/esp32-cam-2026-08-01T09-22-43-217Z.jpg,paper,true,raw_esp32_capture
paper/esp32-cam-2026-08-01T09-22-44-117Z.jpg,paper,true,raw_esp32_capture
paper/paper_003.jpg,paper,false,legacy_or_non_esp32_filename_excluded
paper/paper_003__aug_v2_01.jpg,paper,false,stored_augmentation_excluded
paper/paper_003__aug_v2_02.jpg,paper,false,stored_augmentation_excluded
paper/paper_003__aug_v2_03.jpg,paper,false,stored_augmentation_excluded
paper/paper_003__aug_v2_04.jpg,paper,false,stored_augmentation_excluded
paper/paper_003__aug_v2_05.jpg,paper,false,stored_augmentation_excluded
